folder,pearson_coeffs,mean_squared_errors
1,0.7589292891571826,26.123848560429792
2,0.5466276519149474,25.6364073094684
3,0.7333269620029566,24.57858208499598
4,0.7901978740369779,22.123511470187662
5,0.619586358958828,21.379236235332716
Media,0.6897,23.9683
